Cf,N_features,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
2.443469388,38,800,0.716247225,0.058596666,18.81167743,65.33137232
1.879591837,37,1000,0.715689466,0.056403599,19.10412482,65.33145897
1.691632653,32,900,0.714176669,0.056371007,19.29259304,65.33195626
1.879591837,36,900,0.716840125,0.056184871,19.03287727,65.33316163
1.691632653,27,1000,0.71785976,0.055530568,19.02962305,65.33394484
1.127755102,37,200,0.713164559,0.054969131,19.5046544,65.33576884
1.691632653,37,900,0.714910728,0.056393645,19.23319016,65.33839643
0.939795918,26,800,0.716215747,0.054591733,19.32734064,65.34363039
1.691632653,27,500,0.711874038,0.055920042,19.44748673,65.34403608
0.751836735,26,800,0.716215747,0.054591733,19.34779248,65.34409365
0,26,800,0.716215747,0.054591733,19.37150685,65.34428752
0.187959184,26,800,0.716215747,0.054591733,19.37122746,65.34428752
0.375918367,26,800,0.716215747,0.054591733,19.36868564,65.34428752
0.563877551,26,800,0.716215747,0.054591733,19.36151321,65.34428752
1.691632653,40,800,0.716875249,0.055396377,19.10069974,65.34609388
1.879591837,39,900,0.715137173,0.057309016,19.14893142,65.34766249
1.503673469,35,1000,0.719886392,0.055450023,18.95871674,65.35178463
1.127755102,26,800,0.716215747,0.054591733,19.2975482,65.35303596
1.315714286,37,200,0.713164559,0.054969131,19.46667206,65.35440137
1.879591837,27,1000,0.71785976,0.055530568,18.95470361,65.35659681
0.751836735,40,500,0.718426532,0.054407345,19.19612828,65.35671476
2.06755102,27,1000,0.71785976,0.055530568,18.86657809,65.35673963
0.563877551,40,500,0.718426532,0.054407345,19.21013178,65.35695849
0,40,500,0.718426532,0.054407345,19.22059563,65.35703195
0.187959184,40,500,0.718426532,0.054407345,19.2202683,65.35703195
0.375918367,40,500,0.718426532,0.054407345,19.21764592,65.35703195
1.503673469,33,400,0.710510254,0.054273864,19.59933111,65.35716924
1.503673469,30,500,0.715161918,0.055364884,19.28294311,65.35975178
1.315714286,26,800,0.716215747,0.054591733,19.25878152,65.36117044
2.819387755,34,900,0.720926848,0.061502864,18.24007705,65.36199742
1.315714286,33,400,0.710510254,0.054273864,19.64882882,65.36205391
1.503673469,37,200,0.713164559,0.054969131,19.42058022,65.36297989
0.939795918,40,500,0.718426532,0.054407345,19.17538201,65.36441259
2.631428571,36,600,0.717891205,0.062500116,18.58991561,65.36443657
1.127755102,33,400,0.710510254,0.054273864,19.68737417,65.36499806
0.939795918,33,400,0.710510254,0.054273864,19.71639895,65.36587676
0.751836735,33,400,0.710510254,0.054273864,19.7373639,65.36605318
