N_features,Depth,Learning_rate,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
37,7,0.1,500,-1.642567448,-1.712509696,10.60086442,10.97022992
17,7,0.1,900,-1.614348988,-1.71425193,10.48766388,10.97727605
34,6,0.1,1000,-1.64112768,-1.714750138,10.59508868,10.97929096
15,7,0.1,1000,-1.628372172,-1.715975106,10.54391897,10.98424511
16,7,0.1,1000,-1.624354348,-1.716593138,10.52780116,10.98674462
33,7,0.1,500,-1.647457877,-1.716976546,10.62048276,10.98829525
37,6,0.1,900,-1.643210631,-1.717229034,10.6034446,10.98931638
34,7,0.1,500,-1.648648271,-1.718919301,10.62525811,10.99615235
27,7,0.1,600,-1.641823855,-1.720253788,10.59788144,11.00154943
31,6,0.1,1000,-1.659813339,-1.721175435,10.67004765,11.00527685
28,7,0.1,600,-1.648908149,-1.723163493,10.62630063,11.01331718
38,6,0.1,900,-1.670982549,-1.723556011,10.7148538,11.01490464
20,7,0.1,800,-1.642504052,-1.726102628,10.6006101,11.02520395
23,7,0.1,600,-1.665556763,-1.730398786,10.69308785,11.04257894
25,7,0.1,600,-1.663581612,-1.731037497,10.68516437,11.04516209
32,7,0.1,500,-1.661290912,-1.73116162,10.67597505,11.04566408
35,6,0.1,900,-1.666050926,-1.731743285,10.69507022,11.04801652
19,7,0.1,800,-1.649960475,-1.732388786,10.63052212,11.05062712
29,6,0.1,1000,-1.677398075,-1.733031192,10.74059019,11.05322521
32,6,0.1,900,-1.6675269,-1.734388766,10.7009912,11.05871566
39,6,0.1,900,-1.658476248,-1.736004184,10.66468381,11.06524891
30,7,0.1,500,-1.674637356,-1.736397356,10.72951535,11.06683902
18,7,0.1,800,-1.665435352,-1.737778042,10.69260079,11.07242294
16,7,0.1,900,-1.652979384,-1.738550916,10.64263271,11.07554868
21,7,0.1,700,-1.658648087,-1.738834472,10.66537316,11.07669547
24,7,0.1,600,-1.664246498,-1.742520401,10.68783161,11.09160251
17,7,0.1,800,-1.670419147,-1.742934099,10.71259368,11.09327564
20,7,0.1,700,-1.671403755,-1.743753376,10.7165435,11.09658905
39,6,0.1,800,-1.681869108,-1.744044595,10.75852608,11.09776682
37,6,0.1,800,-1.703571515,-1.745967766,10.84558697,11.10554472
31,7,0.1,500,-1.677734843,-1.74666699,10.74194116,11.1083726
28,6,0.1,1000,-1.691879809,-1.751701474,10.79868479,11.12873362
40,7,0.1,400,-1.699789426,-1.753417025,10.83041483,11.13567183
32,6,0.1,1000,-1.6778011,-1.754451361,10.74220695,11.13985501
33,6,0.1,900,-1.684004879,-1.754589328,10.76709389,11.14041299
13,7,0.1,1000,-1.684197417,-1.756244287,10.76786627,11.14710616
34,6,0.1,900,-1.687425638,-1.75665546,10.78081653,11.14876907
28,7,0.1,500,-1.697801918,-1.757368284,10.82244179,11.15165195
36,6,0.1,900,-1.68088184,-1.758064902,10.75456558,11.15446929
38,6,0.1,800,-1.694735959,-1.759090256,10.81014245,11.15861614
29,7,0.1,500,-1.690535434,-1.759103832,10.79329172,11.15867105
39,7,0.1,400,-1.703771919,-1.760400163,10.84639091,11.16391381
38,7,0.1,400,-1.701535927,-1.761268842,10.83742105,11.16742702
21,7,0.1,600,-1.701811193,-1.762212534,10.8385253,11.1712436
36,6,0.1,800,-1.705015786,-1.763253384,10.85138077,11.17545312
30,6,0.1,900,-1.705196256,-1.763574459,10.85210475,11.17675165
30,6,0.1,1000,-1.69356771,-1.764118167,10.80545593,11.17895057
40,6,0.1,800,-1.706044837,-1.767239075,10.85550889,11.19157249
22,7,0.1,600,-1.712126352,-1.768470692,10.87990536,11.19655353
27,7,0.1,500,-1.696373594,-1.769294458,10.81671195,11.19988509
27,6,0.1,1000,-1.702448222,-1.769793911,10.84108079,11.20190504
25,6,0.1,1000,-1.692286225,-1.770121089,10.80031515,11.20322825
34,6,0.1,800,-1.708482967,-1.771922134,10.86528964,11.21051223
35,7,0.1,400,-1.708708237,-1.772132837,10.86619333,11.21136438
36,7,0.1,400,-1.716200087,-1.772811467,10.89624747,11.21410897
15,7,0.1,900,-1.694203791,-1.776348479,10.80800762,11.22841374
35,6,0.1,800,-1.707853489,-1.777315839,10.86276444,11.23232605
37,7,0.1,400,-1.727561988,-1.778635961,10.94182662,11.23766503
31,6,0.1,800,-1.72077834,-1.778952552,10.91461349,11.23894542
18,7,0.1,700,-1.70965859,-1.779971021,10.87000575,11.24306443
14,7,0.1,1000,-1.700550927,-1.781082796,10.83346965,11.24756079
40,6,0.1,700,-1.724514637,-1.782697011,10.92960193,11.25408917
27,6,0.1,900,-1.734127988,-1.78293782,10.96816664,11.25506308
26,6,0.1,1000,-1.718764327,-1.784218752,10.90653412,11.26024357
17,7,0.1,700,-1.725365548,-1.784764202,10.93301543,11.26244953
26,6,0.1,900,-1.73154314,-1.785282499,10.95779732,11.26454569
28,6,0.1,900,-1.741065142,-1.785410558,10.99599557,11.2650636
15,7,0.1,800,-1.710573556,-1.785756127,10.8736762,11.26646119
20,7,0.1,600,-1.72487347,-1.786929819,10.93104142,11.27120796
19,7,0.1,700,-1.709646639,-1.788105382,10.8699578,11.2759623
31,7,0.1,400,-1.733532688,-1.788428549,10.96577854,11.27726929
36,6,0.1,700,-1.738825092,-1.789209179,10.98700943,11.2804264
23,7,0.1,500,-1.728313253,-1.789365157,10.94484038,11.28105722
29,7,0.1,400,-1.731929269,-1.791096877,10.9593463,11.28806084
26,7,0.1,500,-1.727296184,-1.792994778,10.94076032,11.29573653
22,6,0.1,1000,-1.742610626,-1.793743298,11.00219539,11.29876378
29,6,0.1,900,-1.716436767,-1.793965079,10.89719693,11.29966073
