N_features,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
26,300,-0.493430127,-0.725418783,5.991010866,6.978128329
34,800,-0.516577589,-0.725442311,6.083868707,6.978223485
37,900,-0.505386801,-0.725634149,6.038975993,6.978999338
31,500,-0.507540973,-0.725686787,6.047617621,6.979212222
28,100,-0.510747331,-0.725990286,6.060480175,6.980439666
26,1000,-0.515292951,-0.726466985,6.078715283,6.982367583
39,100,-0.512553797,-0.727616629,6.067726953,6.987017102
38,700,-0.516320675,-0.727967335,6.082838077,6.988435464
31,200,-0.506630991,-0.728077624,6.043967156,6.988881506
22,400,-0.511043603,-0.72898194,6.061668693,6.992538841
20,700,-0.509332009,-0.730037966,6.054802502,6.996809739
18,100,-0.509627982,-0.730268815,6.05598982,6.997743363
32,100,-0.514710272,-0.730960649,6.076377821,7.000541353
23,100,-0.52051723,-0.731041519,6.099672882,7.000868416
24,200,-0.514273689,-0.732294633,6.074626433,7.005936398
40,900,-0.512294878,-0.732353306,6.066688281,7.006173692
27,100,-0.516353738,-0.733531277,6.082970714,7.010937769
19,100,-0.515242019,-0.734993396,6.078510966,7.016851034
15,100,-0.513543479,-0.73516146,6.07169714,7.017530736
31,100,-0.518804694,-0.735217436,6.092802914,7.017757121
30,100,-0.514058211,-0.737580012,6.073762028,7.027312111
14,100,-0.502608902,-0.738210712,6.027832238,7.029862854
29,800,-0.508890471,-0.738312127,6.053031239,7.030273011
35,100,-0.526626693,-0.740266627,6.124181468,7.038177612
20,100,-0.525072559,-0.742811119,6.117946938,7.048468326
37,100,-0.532441516,-0.745933592,6.147508082,7.061096578
25,100,-0.531643875,-0.752983071,6.144308283,7.089606853
